84,'AMD Ryzen 7 8700F [100-100001590BOX]','AMD','https://media.solotodo.com/media/products/1914443_picture_1715838960.jpg',307.17,293511,'https://solotodo.com/products/244032',8,16,4100,5000,65,'AM5','AMD Zen 4','No posee','Wraith Stealth',707,7061
85,'Intel Core i7-12700KF [BX8071512700KF]','Intel','https://media.solotodo.com/media/products/1495155_picture_1637009746.jpg',297.13,283915,'https://solotodo.com/products/125305',8,20,3600,5000,125,'LGA 1700','Intel Alder Lake','No posee','No posee',757,8750
86,'Intel Core Ultra 5 225F [BX80768225F]','Intel','https://media.solotodo.com/media/products/2018716_picture_1739542362.png',310.40000000000003,296600,'https://solotodo.com/products/266048',6,10,3300,4900,65,'LGA 1851','Intel Arrow Lake','No posee','No posee',0,0
87,'Intel Core i5-11600 [BX8070811600]','Intel','https://media.solotodo.com/media/products/1407806_picture_1623791490.jpg',307.35,293684,'https://solotodo.com/products/113425',6,12,2800,4800,65,'LGA 1200','Intel Rocket Lake','UHD 750','Cooler stock Intel',442,4058
88,'Intel Core i5-14600KF [BX8071514600KF]','Intel','https://media.solotodo.com/media/products/1831674_picture_1707949175.jpg',305.13,291563,'https://solotodo.com/products/222073',6,20,3500,5300,125,'LGA 1700','Intel Raptor Lake','No posee','No posee',0,0
89,'Intel Core i5-14600K [BX8071514600K]','Intel','https://media.solotodo.com/media/products/1833267_picture_1707949193.jpg',300.34000000000003,286990,'https://solotodo.com/products/222319',6,20,3500,5300,125,'LGA 1700','Intel Raptor Lake','UHD 770','No posee',0,0
90,'AMD Ryzen 7 3800XT [100-100000279WOF]','AMD','https://media.solotodo.com/media/products/1201957_picture_1595423050.jpg',312.91,299000,'https://solotodo.com/products/83840',8,16,3900,4700,105,'AM4','AMD Zen 2','No posee','No posee',539,5122
91,'Intel Core i7-12700F [BX8071512700F]','Intel','https://media.solotodo.com/media/products/1525367_picture_1641998224.jpg',311.86,297990,'https://solotodo.com/products/129410',8,20,2100,4900,65,'LGA 1700','Intel Alder Lake','No posee','Cooler stock Intel',1008,6981
92,'Intel Core i5-9600K [BX80684I59600K]','Intel','https://media.solotodo.com/media/products/829937_picture_1540686756.jpg',315.03000000000003,301021,'https://solotodo.com/products/52283',6,6,3700,4600,95,'LGA 1151 (8va / 9na gen)','Intel Coffee Lake','UHD 630','No posee',481,2624
93,'AMD Ryzen 7 3700X [100-100000071BOX]','AMD','https://media.solotodo.com/media/products/956999_picture_1562948477.jpg',328.25,313654,'https://solotodo.com/products/63564',8,16,3600,4400,65,'AM4','AMD Zen 2','No posee','Wraith Prism',501,4834
94,'AMD Ryzen 7 8700G [100-100001236BOX]','AMD','https://media.solotodo.com/media/products/1874858_picture_1706850523.webp',318.34000000000003,304190,'https://solotodo.com/products/232388',8,16,4200,5100,65,'AM5','AMD Zen 4','Radeon 780M','Wraith Spire',707,7061
95,'Intel Core i7-10700 [BX8070110700]','Intel','https://media.solotodo.com/media/products/1165918_picture_1590701988.jpg',332.55,317766,'https://solotodo.com/products/81375',8,16,2900,4800,65,'LGA 1200','Intel Comet Lake','UHD 630','Cooler stock Intel',499,4834
96,'Intel Core i7-12700K [BX8071512700K]','Intel','https://media.solotodo.com/media/products/1495143_picture_1637009683.jpg',321.8,307490,'https://solotodo.com/products/125304',8,20,3600,5000,125,'LGA 1700','Intel Alder Lake','UHD 770','No posee',757,8750
97,'Intel Core i7-12700 [BX8071512700]','Intel','https://media.solotodo.com/media/products/1495143_picture_1637009683.jpg',336.97,321990,'https://solotodo.com/products/133320',8,20,3600,4900,65,'LGA 1700','Intel Alder Lake','UHD 770','Cooler stock Intel',1029,7127
